dataset_name,run_label,seed,budget,coverage_target,frontier_set_size_llm,coverage_llm,point_risk_llm,frontier_set_size_reference,coverage_reference,point_risk_reference,set_size_gap_llm_minus_reference,coverage_gap_llm_minus_reference,risk_gap_llm_minus_reference
ANES96 vote,minimax_anes_schema_budgetgrid,7,40,0.9,1.4857142857142858,0.9928571428571428,0.0642857142857142,1.2785714285714285,0.9714285714285714,0.0642857142857142,0.2071428571428573,0.021428571428571352,0.0
ANES96 vote,minimax_anes_schema_budgetgrid,7,60,0.8,0.95,0.8916666666666667,0.0666666666666666,0.9083333333333332,0.8666666666666667,0.0583333333333333,0.04166666666666674,0.025000000000000022,0.008333333333333297
ANES96 vote,minimax_anes_schema_budgetgrid,7,60,0.9,1.152542372881356,0.9576271186440678,0.0677966101694915,1.225,0.9833333333333332,0.0666666666666666,-0.07245762711864412,-0.025706214689265372,0.001129943502824901
ANES96 vote,minimax_anes_schema_budgetgrid,7,80,0.8,0.9393939393939394,0.8888888888888888,0.0505050505050505,0.82,0.79,0.05,0.1193939393939395,0.0988888888888888,0.0005050505050504944
ANES96 vote,minimax_anes_schema_budgetgrid,7,80,0.9,0.96,0.91,0.06,0.93,0.89,0.05,0.029999999999999916,0.020000000000000018,0.009999999999999995
ANES96 vote,minimax_anes_schema_budgetgrid,7,100,0.8,0.8461538461538461,0.7948717948717948,0.0897435897435897,0.8125,0.7875,0.0749999999999999,0.033653846153846145,0.007371794871794846,0.014743589743589802
ANES96 vote,minimax_anes_schema_budgetgrid,7,100,0.9,1.0,0.9493670886075948,0.0506329113924051,1.05,0.925,0.0875,-0.050000000000000044,0.024367088607594733,-0.0368670886075949
ANES96 vote,minimax_anes_schema_budgetgrid,7,140,0.8,0.9230769230769232,0.8717948717948718,0.0512820512820513,0.875,0.8,0.0999999999999999,0.04807692307692324,0.07179487179487176,-0.04871794871794859
ANES96 vote,minimax_anes_schema_budgetgrid,7,140,0.9,1.0,0.8947368421052632,0.1052631578947368,0.975,0.875,0.0999999999999999,0.025000000000000022,0.019736842105263164,0.0052631578947369
ANES96 vote,minimax_anes_schema_budgetgrid,8,30,0.8,0.9328859060402684,0.8590604026845637,0.0805369127516778,1.0,0.9333333333333332,0.0666666666666666,-0.06711409395973156,-0.0742729306487695,0.01387024608501121
ANES96 vote,minimax_anes_schema_budgetgrid,8,40,0.8,0.9280575539568344,0.8489208633093526,0.0863309352517985,0.9928571428571428,0.8071428571428572,0.1928571428571428,-0.06479958890030835,0.04177800616649541,-0.10652620760534431
ANES96 vote,minimax_anes_schema_budgetgrid,8,40,0.9,0.9571428571428572,0.8857142857142857,0.0785714285714286,1.0,0.9285714285714286,0.0714285714285714,-0.042857142857142816,-0.04285714285714293,0.007142857142857201
ANES96 vote,minimax_anes_schema_budgetgrid,8,60,0.8,0.9411764705882352,0.865546218487395,0.0840336134453781,1.0,0.925,0.0749999999999999,-0.05882352941176483,-0.05945378151260505,0.009033613445378202
ANES96 vote,minimax_anes_schema_budgetgrid,8,60,0.9,1.0,0.9159663865546218,0.0840336134453781,1.2333333333333334,0.975,0.1083333333333332,-0.2333333333333334,-0.059033613445378164,-0.024299719887955096
