dataset_name,run_label,method_family,coverage_target,budget,n_cells,n_attained,attainment_rate,mean_frontier_set_size,se_frontier_set_size,ci95_low_frontier_set_size,ci95_high_frontier_set_size,mean_coverage,mean_point_risk
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,240,10,10,1.0,1.3185398230088494,0.01901527758357447,1.2812698789450434,1.3558097670726554,0.8902212389380532,0.24238938053097345
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,480,10,10,1.0,1.3047029702970296,0.019386629948903986,1.2667051755971779,1.3427007649968814,0.8915841584158415,0.23831683168316825
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,960,10,10,1.0,1.2576623376623377,0.011126383312406016,1.2358546263700219,1.2794700489546535,0.8847402597402597,0.2267532467532467
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,30,10,10,1.0,1.024387689703126,0.05513217084536672,0.9163286348462073,1.1324467445600448,0.9056909728520466,0.07404377531894307
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,40,10,10,1.0,0.9032578161073627,0.01653939398626067,0.8708406038942917,0.9356750283204336,0.8384516734438536,0.0763743539330026
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,10,10,1.0,0.9216620376964345,0.01564211334904467,0.891003495532307,0.9523205798605621,0.8628932250866448,0.070576603522765
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,80,10,10,1.0,0.9332593279736138,0.012421751437655512,0.908912695155809,0.9576059607914186,0.8707835497835497,0.06751638837353117
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,100,10,10,1.0,0.9287873255436546,0.01704340236602141,0.8953822569062526,0.9621923941810566,0.8694486368062316,0.06954681921454071
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,120,10,10,1.0,0.9390960451977399,0.010801012858545634,0.9179260599949904,0.9602660304004894,0.871638418079096,0.07081920903954798
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,140,10,10,1.0,0.9198920377867748,0.017397285121973548,0.8857933589477066,0.9539907166258429,0.8716160593792173,0.058670715249662574
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.9,40,10,10,1.0,1.132929904523586,0.08070475155197797,0.9747485914817093,1.2911112175654629,0.9312793988411755,0.07019087835321801
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,10,10,1.0,1.1104664577695484,0.060243533060800186,0.9923891329703801,1.2285437825687169,0.9310396192375257,0.07401011251958406
