dataset_name,run_label,method_family,coverage_target,group,n_cells,total_audit_n,mean_coverage,mean_set_size,mean_empty_set_rate,mean_one_label_rate,mean_two_label_rate,mean_point_risk,min_group_audit_n,max_group_audit_n
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,8,49,11832,0.9124112343982527,1.2550844298216022,0.0,0.7449155701783978,0.25508442982160223,0.1882323083156186,166,282
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,9,49,4328,0.8749718745047679,1.3293901549239437,0.0,0.6706098450760564,0.32939015492394363,0.26066530289752227,55,103
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,Female,60,2262,0.9253869623610524,1.075101566438974,0.005569050832208727,0.9137603318966085,0.08067061727118263,0.09896888034044658,18,57
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,Male,60,4238,0.8325414150522162,1.1631368742770307,0.02584018415324555,0.785182757416478,0.18897705843027643,0.23005144682517692,35,100
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,Female,48,1652,0.959975488460919,1.228308768864873,0.0,0.771691231135127,0.22830876886487297,0.09636961855275288,18,54
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,Male,48,3108,0.9445933528160246,1.4510938717240773,0.00025720164609053495,0.5483917249837417,0.45135107337016783,0.22946210713800005,35,96
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,Female,66,2277,0.897655993462043,1.0884740664794657,0.007329855355699198,0.896866222809136,0.09580392183516467,0.12119849128962992,11,57
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,Male,66,4263,0.7833227250225078,1.1472465136428012,0.03792427832115557,0.7769049297148877,0.1851707919639568,0.2765275546098057,22,100
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,Female,60,1877,0.9403647970140092,1.20235633073576,0.00065359477124183,0.7963364797217561,0.203009925507002,0.1191076490637427,11,54
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,Male,60,3523,0.9088204713556854,1.4715883871978812,0.004481897627965043,0.5194478175461886,0.47607028482584635,0.27194140538706874,22,96
