dataset_name,run_label,coverage_target,budget,n_paired_cells,mean_set_size_gap_llm_minus_reference,se_set_size_gap_llm_minus_reference,mean_coverage_gap_llm_minus_reference,mean_risk_gap_llm_minus_reference
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,120,8,0.09166666666666662,0.06842908506285675,0.04583333333333332,-0.033333333333333354
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,140,9,0.10277777777777779,0.060300814850256686,0.04166666666666666,-0.036111111111111115
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,40,10,0.026428571428571534,0.042499166325023346,0.03642857142857141,-0.12999999999999998
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,60,10,0.0191666666666666,0.051685331156819746,0.032500000000000015,-0.09
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,80,10,0.041999999999999926,0.03359232716625098,0.04099999999999996,-0.05599999999999998
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,100,10,-0.032500000000000015,0.028577380332470426,0.043750000000000025,-0.0875
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,120,8,2.7755575615628914e-17,0.03318419015420562,0.02916666666666662,-0.03749999999999996
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,140,9,-0.03611111111111111,0.058349865382222234,0.011111111111111096,-0.03611111111111113
Star98 education,minimax_star98_schema_budgetgrid,0.8,30,8,0.45808823529411763,0.10610060081743676,0.016176470588235292,0.1308823529411765
Star98 education,minimax_star98_schema_budgetgrid,0.8,40,9,0.6222222222222222,0.06577455768206734,0.05902777777777779,0.14305555555555557
Star98 education,minimax_star98_schema_budgetgrid,0.8,60,8,0.6866071428571427,0.05579464214274284,0.07053571428571427,0.16428571428571426
Star98 education,minimax_star98_schema_budgetgrid,0.8,80,9,0.6703703703703704,0.02312035368367368,0.040740740740740716,0.20277777777777775
Star98 education,minimax_star98_schema_budgetgrid,0.8,100,7,0.6985714285714285,0.021539395957902174,0.06428571428571428,0.19142857142857148
Star98 education,minimax_star98_schema_budgetgrid,0.8,120,6,0.6645833333333334,0.0428680954919986,0.0375,0.21041666666666667
Star98 education,minimax_star98_schema_budgetgrid,0.8,140,8,0.6708333333333334,0.018567230905335966,0.05416666666666664,0.20208333333333336
Star98 education,minimax_star98_schema_budgetgrid,0.8,160,9,0.7388888888888889,0.04352344337775668,0.07777777777777774,0.19722222222222224
Star98 education,minimax_star98_schema_budgetgrid,0.9,40,8,0.46484375,0.0669293993947967,0.0234375,0.12968750000000004
Star98 education,minimax_star98_schema_budgetgrid,0.9,60,10,0.4871428571428574,0.07704726587711158,0.05857142857142861,0.14214285714285715
Star98 education,minimax_star98_schema_budgetgrid,0.9,80,8,0.4479166666666667,0.08731201461898237,0.021874999999999936,0.17812499999999998
Star98 education,minimax_star98_schema_budgetgrid,0.9,100,9,0.5588888888888888,0.03913809044213564,0.036666666666666674,0.1922222222222222
Star98 education,minimax_star98_schema_budgetgrid,0.9,120,9,0.5541666666666667,0.03958333333333333,0.01666666666666667,0.21250000000000002
Star98 education,minimax_star98_schema_budgetgrid,0.9,140,6,0.5833333333333334,0.07005289007176944,0.041666666666666685,0.225
Star98 education,minimax_star98_schema_budgetgrid,0.9,160,7,0.557142857142857,0.05528989771301487,0.025000000000000005,0.21428571428571436
