run_label,method_family,coverage_target,n_cells,n_attained,mean_frontier_set_size,median_frontier_set_size,mean_coverage,mean_point_risk,attainment_rate
minimax_anes_schema_budgetgrid,reference,0.9,60,53,1.0553571428571429,1.0,0.9305682839173405,0.06715184186882295,0.8833333333333333
minimax_anes_schema_promptopt,llm_cached,0.8,6,6,0.9334714046944262,0.93227236392704,0.8695952329045854,0.06964125669161635,1.0
minimax_anes_schema_promptopt,llm_cached,0.9,6,6,1.0995203836930456,1.0,0.9424320976119537,0.06955831006190714,1.0
minimax_anes_schema_promptopt,llm_fixed_prompt_frontier,0.8,6,6,0.9334714046944262,0.93227236392704,0.8695952329045854,0.06964125669161635,1.0
minimax_anes_schema_promptopt,llm_fixed_prompt_frontier,0.9,6,6,1.0995203836930456,1.0,0.9424320976119537,0.06955831006190714,1.0
minimax_anes_schema_promptopt,llm_prompt_optimized,0.8,6,6,0.916969454739239,0.9292929292929292,0.8542401915095065,0.07212622523851797,1.0
minimax_anes_schema_promptopt,llm_prompt_optimized,0.9,6,6,1.1488069096764748,1.0,0.9490657803138253,0.0673300621689736,1.0
minimax_anes_schema_promptopt,llm_prompt_policy_frontier,0.8,6,6,0.9124034106048494,0.9286752416248818,0.8496741473751169,0.07212622523851797,1.0
minimax_anes_schema_promptopt,llm_prompt_policy_frontier,0.9,6,6,1.0966183574879227,1.0,0.9424147202095279,0.0672471155392644,1.0
minimax_anes_schema_promptopt,overall_frontier,0.8,6,6,0.8648590391755859,0.8466666666666667,0.8138291783287092,0.08063124806008758,1.0
minimax_anes_schema_promptopt,overall_frontier,0.9,6,6,1.0647135955831606,0.9742857142857142,0.9185369220151829,0.07374396135265698,1.0
minimax_anes_schema_promptopt,reference,0.8,6,5,0.8988571428571429,0.86,0.852,0.0751428571428571,0.8333333333333334
minimax_anes_schema_promptopt,reference,0.9,6,6,1.0823809523809522,0.9742857142857142,0.9221428571428572,0.06761904761904758,1.0
minimax_fair_schema_budgetgrid,llm_cached,0.8,70,64,1.8302752976190477,2.0,0.9513151041666666,0.28595052083333333,0.9142857142857143
minimax_fair_schema_budgetgrid,llm_cached,0.9,60,59,2.0,2.0,1.0,0.2839285714285714,0.9833333333333333
minimax_fair_schema_budgetgrid,llm_fixed_prompt_frontier,0.8,70,64,1.8302752976190477,2.0,0.9513151041666666,0.28595052083333333,0.9142857142857143
minimax_fair_schema_budgetgrid,llm_fixed_prompt_frontier,0.9,60,59,2.0,2.0,1.0,0.2839285714285714,0.9833333333333333
minimax_fair_schema_budgetgrid,llm_prompt_optimized,0.8,70,68,1.679572487936959,2.0,0.9118447522105311,0.30207113122367474,0.9714285714285714
minimax_fair_schema_budgetgrid,llm_prompt_optimized,0.9,60,60,2.0,2.0,1.0,0.3008687641723356,1.0
minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,70,69,1.6617185662036922,2.0,0.9052964560230007,0.2915323216066923,0.9857142857142858
minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,60,2.0,2.0,1.0,0.28463860544217684,1.0
minimax_fair_schema_budgetgrid,overall_frontier,0.8,70,70,1.3254591836734695,1.3,0.8426462585034014,0.2956479591836734,1.0
minimax_fair_schema_budgetgrid,overall_frontier,0.9,60,60,1.6111845238095237,1.61625,0.9274960317460317,0.3048432539682539,1.0
minimax_fair_schema_budgetgrid,reference,0.8,70,69,1.3501984126984128,1.3333333333333333,0.8520514147688061,0.3044444444444444,0.9857142857142858
minimax_fair_schema_budgetgrid,reference,0.9,60,59,1.604594430992736,1.6125,0.9262671509281678,0.30520782889426956,0.9833333333333333
minimax_fair_schema_promptopt,llm_cached,0.8,6,6,2.0,2.0,1.0,0.2738095238095238,1.0
minimax_fair_schema_promptopt,llm_cached,0.9,6,6,2.0,2.0,1.0,0.2738095238095238,1.0
minimax_fair_schema_promptopt,llm_fixed_prompt_frontier,0.8,6,6,2.0,2.0,1.0,0.2738095238095238,1.0
minimax_fair_schema_promptopt,llm_fixed_prompt_frontier,0.9,6,6,2.0,2.0,1.0,0.2738095238095238,1.0
minimax_fair_schema_promptopt,llm_prompt_optimized,0.8,6,6,1.8966666666666665,2.0,0.9733333333333333,0.2933333333333333,1.0
minimax_fair_schema_promptopt,llm_prompt_optimized,0.9,6,6,2.0,2.0,1.0,0.2933333333333333,1.0
minimax_fair_schema_promptopt,llm_prompt_policy_frontier,0.8,6,6,1.8966666666666665,2.0,0.9733333333333333,0.2754761904761905,1.0
minimax_fair_schema_promptopt,llm_prompt_policy_frontier,0.9,6,6,2.0,2.0,1.0,0.2738095238095238,1.0
minimax_fair_schema_promptopt,overall_frontier,0.8,6,6,1.395952380952381,1.375,0.8728571428571429,0.3054761904761904,1.0
minimax_fair_schema_promptopt,overall_frontier,0.9,6,6,1.5942857142857143,1.61,0.9338095238095239,0.3323809523809524,1.0
minimax_fair_schema_promptopt,reference,0.8,6,6,1.395952380952381,1.375,0.8728571428571429,0.3054761904761904,1.0
minimax_fair_schema_promptopt,reference,0.9,6,6,1.5942857142857143,1.61,0.9338095238095239,0.3323809523809524,1.0
minimax_fertility_schema_budgetgrid,llm_cached,0.8,50,50,1.8006420253722886,1.790909090909091,0.8994221269958111,0.5897968737402948,1.0
minimax_fertility_schema_budgetgrid,llm_cached,0.9,40,40,1.9535503194721944,1.9903846153846156,0.9790584415584416,0.59093886495449,1.0
minimax_fertility_schema_budgetgrid,llm_fixed_prompt_frontier,0.8,50,50,1.8006420253722886,1.790909090909091,0.8994221269958111,0.5897968737402948,1.0
minimax_fertility_schema_budgetgrid,llm_fixed_prompt_frontier,0.9,40,40,1.9535503194721944,1.9903846153846156,0.9790584415584416,0.59093886495449,1.0
minimax_fertility_schema_budgetgrid,llm_prompt_optimized,0.8,50,50,1.473573593073593,1.4214285714285713,0.9096339105339105,0.4267002886002886,1.0
minimax_fertility_schema_budgetgrid,llm_prompt_optimized,0.9,40,40,1.6492734487734488,1.6,0.9828838383838384,0.4416183261183261,1.0
minimax_fertility_schema_budgetgrid,llm_prompt_policy_frontier,0.8,50,50,1.4723822814612288,1.4214285714285713,0.8976656565656566,0.43857205134047234,1.0
minimax_fertility_schema_budgetgrid,llm_prompt_policy_frontier,0.9,40,40,1.6397148823398822,1.6,0.978111111111111,0.45156150793650796,1.0
minimax_fertility_schema_budgetgrid,overall_frontier,0.8,50,50,0.9225150072150072,0.8732142857142857,0.8590731601731602,0.09371919191919188,1.0
