run_label,experiment_id,dataset_id,task_id,seed,budget,coverage_target,method_family,frontier_status,frontier_method,frontier_set_size,coverage,point_risk,n_methods,n_valid_methods
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,40,0.8,overall_frontier,attained,calibrated_probability_conformal,1.67,0.78,0.42,6,5
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,40,0.8,reference,attained,calibrated_probability_conformal,1.67,0.78,0.42,4,3
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,40,0.9,llm_cached,attained,cached_llm_L0_zero_shot,2.975,1.0,0.6625,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,40,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,2.975,1.0,0.6625,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,40,0.9,overall_frontier,attained,calibrated_probability_conformal,2.15,0.88,0.42,6,5
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,40,0.9,reference,attained,calibrated_probability_conformal,2.15,0.88,0.42,4,3
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.7096774193548385,0.9032258064516128,0.6451612903225806,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.7096774193548385,0.9032258064516128,0.6451612903225806,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.8,overall_frontier,attained,calibrated_probability_conformal,1.9333333333333331,0.9333333333333332,0.4666666666666667,6,5
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.8,reference,attained,calibrated_probability_conformal,1.9333333333333331,0.9333333333333332,0.4666666666666667,4,3
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.9,llm_cached,attained,cached_llm_L0_zero_shot,2.975,1.0,0.65,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,2.975,1.0,0.65,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.9,overall_frontier,attained,gradient_boosting_probability_conformal,2.533333333333333,0.95,0.5333333333333333,6,6
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.9,reference,attained,gradient_boosting_probability_conformal,2.533333333333333,0.95,0.5333333333333333,4,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.95,llm_cached,attained,cached_llm_L0_zero_shot,2.975,1.0,0.65,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.95,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,2.975,1.0,0.65,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.95,overall_frontier,attained,calibrated_probability_conformal,2.55,0.9833333333333332,0.4666666666666667,6,6
